ROI,Volume_mm3
1,21275.0
2,19837.0
3,31255.0
4,33437.0
5,31003.0
6,31334.0
7,7473.0
8,9448.0
9,19101.0
10,14178.0
11,5546.0
12,3653.0
13,7699.0
14,10108.0
15,12440.0
16,15805.0
17,1876.0
18,1368.0
19,20535.0
20,15180.0
21,3780.0
22,4249.0
23,1896.0
24,1422.0
25,1052.0
26,339.0
27,1049.0
28,268.0
29,3576.0
30,2055.0
31,871.0
32,96.0
33,14425.0
34,14043.0
35,11448.0
36,10414.0
37,15040.0
38,17405.0
39,3630.0
40,2588.0
41,6859.0
42,7292.0
43,5921.0
44,6876.0
45,1567.0
46,1740.0
47,17720.0
48,15024.0
49,13085.0
50,13020.0
51,17036.0
52,18932.0
53,10943.0
54,12093.0
55,25477.0
56,16193.0
57,7239.0
58,7582.0
59,16767.0
60,16251.0
61,24481.0
62,23362.0
63,14131.0
64,13909.0
65,18330.0
66,10198.0
67,10071.0
68,14426.0
69,9504.0
70,13591.0
71,27953.0
72,26835.0
73,6836.0
74,5331.0
75,7406.0
76,7797.0
77,7628.0
78,8060.0
79,2103.0
80,2055.0
81,8797.0
82,8622.0
83,1816.0
84,1992.0
85,17956.0
86,24580.0
87,8564.0
88,8004.0
89,37275.0
90,34397.0
91,3655.0
92,2761.0
93,25156.0
94,20586.0
95,17222.0
96,21808.0
97,8810.0
98,13687.0
99,311.0
100,565.0
101,6602.0
102,4791.0
103,11858.0
104,13657.0
105,1182.0
106,2992.0
107,2757.0
108,11893.0
109,11.0
110,2035.0
111,0.0
112,608.0
113,145.0
114,823.0
115,2936.0
116,2198.0
117,1309.0
118,1041.0
119,218.0
120,1.0
